TimeStamp,ChargingStatus,CurrentLevel,_time
1666002949,1,75,2022-10-17 16:05:49+05:30
1666002948,1,75,2022-10-17 16:05:48+05:30
1666002947,1,75,2022-10-17 16:05:47+05:30
1666002945,1,75,2022-10-17 16:05:45+05:30
1666002944,1,75,2022-10-17 16:05:44+05:30
1666002943,1,75,2022-10-17 16:05:43+05:30
1666002942,1,75,2022-10-17 16:05:42+05:30
1666002941,1,75,2022-10-17 16:05:41+05:30
1666002940,1,75,2022-10-17 16:05:40+05:30
1666002939,1,75,2022-10-17 16:05:39+05:30
1666002938,1,75,2022-10-17 16:05:38+05:30
1666002937,1,75,2022-10-17 16:05:37+05:30
1666002936,1,75,2022-10-17 16:05:36+05:30
1666002935,1,75,2022-10-17 16:05:35+05:30
1666002934,1,75,2022-10-17 16:05:34+05:30
1666002933,1,75,2022-10-17 16:05:33+05:30
1666002932,1,75,2022-10-17 16:05:32+05:30
1666002931,1,75,2022-10-17 16:05:31+05:30
1666002930,1,75,2022-10-17 16:05:30+05:30
1666002929,1,75,2022-10-17 16:05:29+05:30
1666002928,1,75,2022-10-17 16:05:28+05:30
1666002927,1,75,2022-10-17 16:05:27+05:30
1666002926,1,75,2022-10-17 16:05:26+05:30
1666002925,1,75,2022-10-17 16:05:25+05:30
1666002924,1,75,2022-10-17 16:05:24+05:30
1666002923,1,75,2022-10-17 16:05:23+05:30
1666002922,1,75,2022-10-17 16:05:22+05:30
1666002921,1,75,2022-10-17 16:05:21+05:30
1666002920,1,75,2022-10-17 16:05:20+05:30
1666002919,1,75,2022-10-17 16:05:19+05:30
1666002918,1,75,2022-10-17 16:05:18+05:30
1666002917,1,75,2022-10-17 16:05:17+05:30
1666002916,1,75,2022-10-17 16:05:16+05:30
1666002915,1,75,2022-10-17 16:05:15+05:30
1666002914,1,75,2022-10-17 16:05:14+05:30
1666002913,1,75,2022-10-17 16:05:13+05:30
1666002912,1,75,2022-10-17 16:05:12+05:30
1666002911,1,75,2022-10-17 16:05:11+05:30
1666002910,1,75,2022-10-17 16:05:10+05:30
1666002909,1,75,2022-10-17 16:05:09+05:30
1666002908,1,75,2022-10-17 16:05:08+05:30
1666002907,1,75,2022-10-17 16:05:07+05:30
1666002906,1,75,2022-10-17 16:05:06+05:30
1666002905,1,75,2022-10-17 16:05:05+05:30
1666002904,1,75,2022-10-17 16:05:04+05:30
1666002902,1,75,2022-10-17 16:05:02+05:30
1666002901,1,75,2022-10-17 16:05:01+05:30
1666002900,1,75,2022-10-17 16:05:00+05:30
1666002899,1,75,2022-10-17 16:04:59+05:30
1666002898,1,75,2022-10-17 16:04:58+05:30
1666002897,1,75,2022-10-17 16:04:57+05:30
1666002896,1,75,2022-10-17 16:04:56+05:30
1666002895,1,75,2022-10-17 16:04:55+05:30
1666002894,1,75,2022-10-17 16:04:54+05:30
1666002893,1,75,2022-10-17 16:04:53+05:30
1666002892,1,75,2022-10-17 16:04:52+05:30
1666002891,1,75,2022-10-17 16:04:51+05:30
1666002890,1,75,2022-10-17 16:04:50+05:30
1666002889,1,75,2022-10-17 16:04:49+05:30
1666002888,1,75,2022-10-17 16:04:48+05:30
1666002887,1,75,2022-10-17 16:04:47+05:30
1666002886,1,75,2022-10-17 16:04:46+05:30
1666002885,1,75,2022-10-17 16:04:45+05:30
1666002884,1,75,2022-10-17 16:04:44+05:30
1666002883,1,75,2022-10-17 16:04:43+05:30
1666002882,1,75,2022-10-17 16:04:42+05:30
1666002881,1,75,2022-10-17 16:04:41+05:30
1666002880,1,75,2022-10-17 16:04:40+05:30
1666002879,1,75,2022-10-17 16:04:39+05:30
1666002878,1,75,2022-10-17 16:04:38+05:30
1666002877,1,75,2022-10-17 16:04:37+05:30
1666002876,1,75,2022-10-17 16:04:36+05:30
1666002875,1,75,2022-10-17 16:04:35+05:30
1666002874,1,75,2022-10-17 16:04:34+05:30
1666002873,1,75,2022-10-17 16:04:33+05:30
1666002872,1,75,2022-10-17 16:04:32+05:30
1666002871,1,75,2022-10-17 16:04:31+05:30
1666002870,1,75,2022-10-17 16:04:30+05:30
1666002869,1,75,2022-10-17 16:04:29+05:30
1666002868,1,75,2022-10-17 16:04:28+05:30
1666002867,1,75,2022-10-17 16:04:27+05:30
1666002866,1,75,2022-10-17 16:04:26+05:30
1666002865,1,75,2022-10-17 16:04:25+05:30
1666002864,1,75,2022-10-17 16:04:24+05:30
1666002863,1,75,2022-10-17 16:04:23+05:30
1666002862,1,75,2022-10-17 16:04:22+05:30
1666002861,1,75,2022-10-17 16:04:21+05:30
1666002859,1,75,2022-10-17 16:04:19+05:30
1666002858,1,75,2022-10-17 16:04:18+05:30
1666002857,1,75,2022-10-17 16:04:17+05:30
1666002856,1,75,2022-10-17 16:04:16+05:30
1666002855,1,75,2022-10-17 16:04:15+05:30
1666002854,1,75,2022-10-17 16:04:14+05:30
1666002853,1,75,2022-10-17 16:04:13+05:30
1666002852,1,75,2022-10-17 16:04:12+05:30
1666002851,1,75,2022-10-17 16:04:11+05:30
1666002850,1,75,2022-10-17 16:04:10+05:30
1666002849,1,75,2022-10-17 16:04:09+05:30
1666002848,1,75,2022-10-17 16:04:08+05:30
1666002847,1,75,2022-10-17 16:04:07+05:30
1666002846,1,75,2022-10-17 16:04:06+05:30
1666002845,1,75,2022-10-17 16:04:05+05:30
1666002844,1,75,2022-10-17 16:04:04+05:30
1666002843,1,75,2022-10-17 16:04:03+05:30
1666002842,1,75,2022-10-17 16:04:02+05:30
1666002841,1,75,2022-10-17 16:04:01+05:30
1666002840,1,75,2022-10-17 16:04:00+05:30
1666002839,1,75,2022-10-17 16:03:59+05:30
1666002838,1,75,2022-10-17 16:03:58+05:30
1666002837,1,75,2022-10-17 16:03:57+05:30
1666002836,1,75,2022-10-17 16:03:56+05:30
1666002835,1,75,2022-10-17 16:03:55+05:30
1666002834,1,75,2022-10-17 16:03:54+05:30
1666002833,1,75,2022-10-17 16:03:53+05:30
1666002832,1,75,2022-10-17 16:03:52+05:30
1666002831,1,75,2022-10-17 16:03:51+05:30
1666002830,1,75,2022-10-17 16:03:50+05:30
1666002829,1,75,2022-10-17 16:03:49+05:30
1666002828,1,75,2022-10-17 16:03:48+05:30
1666002827,1,75,2022-10-17 16:03:47+05:30
1666002826,1,75,2022-10-17 16:03:46+05:30
1666002825,1,75,2022-10-17 16:03:45+05:30
1666002824,1,75,2022-10-17 16:03:44+05:30
1666002823,1,75,2022-10-17 16:03:43+05:30
1666002822,1,75,2022-10-17 16:03:42+05:30
1666002821,1,75,2022-10-17 16:03:41+05:30
1666002820,1,75,2022-10-17 16:03:40+05:30
1666002819,1,75,2022-10-17 16:03:39+05:30
1666002818,1,75,2022-10-17 16:03:38+05:30
1666002817,1,75,2022-10-17 16:03:37+05:30
1666002816,1,75,2022-10-17 16:03:36+05:30
1666002815,1,75,2022-10-17 16:03:35+05:30
1666002813,1,75,2022-10-17 16:03:33+05:30
1666002812,1,75,2022-10-17 16:03:32+05:30
1666002811,1,75,2022-10-17 16:03:31+05:30
1666002810,1,75,2022-10-17 16:03:30+05:30
1666002809,1,75,2022-10-17 16:03:29+05:30
1666002808,1,75,2022-10-17 16:03:28+05:30
1666002807,1,75,2022-10-17 16:03:27+05:30
1666002806,1,75,2022-10-17 16:03:26+05:30
1666002805,1,75,2022-10-17 16:03:25+05:30
1666002804,1,75,2022-10-17 16:03:24+05:30
1666002803,1,75,2022-10-17 16:03:23+05:30
1666002802,1,75,2022-10-17 16:03:22+05:30
1666002801,1,75,2022-10-17 16:03:21+05:30
1666002800,1,75,2022-10-17 16:03:20+05:30
1666002799,1,75,2022-10-17 16:03:19+05:30
1666002798,1,75,2022-10-17 16:03:18+05:30
1666002797,1,75,2022-10-17 16:03:17+05:30
1666002796,1,75,2022-10-17 16:03:16+05:30
1666002795,1,75,2022-10-17 16:03:15+05:30
1666002794,1,75,2022-10-17 16:03:14+05:30
1666002793,1,75,2022-10-17 16:03:13+05:30
1666002792,1,75,2022-10-17 16:03:12+05:30
1666002791,1,75,2022-10-17 16:03:11+05:30
1666002790,1,75,2022-10-17 16:03:10+05:30
1666002789,1,75,2022-10-17 16:03:09+05:30
1666002788,1,75,2022-10-17 16:03:08+05:30
1666002787,1,75,2022-10-17 16:03:07+05:30
1666002786,1,75,2022-10-17 16:03:06+05:30
1666002785,1,75,2022-10-17 16:03:05+05:30
1666002784,1,75,2022-10-17 16:03:04+05:30
1666002783,1,75,2022-10-17 16:03:03+05:30
1666002782,1,75,2022-10-17 16:03:02+05:30
1666002781,1,75,2022-10-17 16:03:01+05:30
1666002780,1,75,2022-10-17 16:03:00+05:30
1666002779,1,75,2022-10-17 16:02:59+05:30
1666002778,1,75,2022-10-17 16:02:58+05:30
1666002777,1,75,2022-10-17 16:02:57+05:30
1666002776,1,75,2022-10-17 16:02:56+05:30
1666002775,1,75,2022-10-17 16:02:55+05:30
1666002774,1,75,2022-10-17 16:02:54+05:30
1666002773,1,75,2022-10-17 16:02:53+05:30
1666002772,1,75,2022-10-17 16:02:52+05:30
1666002771,1,75,2022-10-17 16:02:51+05:30
1666002769,1,75,2022-10-17 16:02:49+05:30
1666002768,1,75,2022-10-17 16:02:48+05:30
1666002767,1,75,2022-10-17 16:02:47+05:30
1666002766,1,75,2022-10-17 16:02:46+05:30
1666002765,1,75,2022-10-17 16:02:45+05:30
1666002764,1,75,2022-10-17 16:02:44+05:30
1666002763,1,75,2022-10-17 16:02:43+05:30
1666002762,1,75,2022-10-17 16:02:42+05:30
1666002761,1,75,2022-10-17 16:02:41+05:30
1666002760,1,75,2022-10-17 16:02:40+05:30
1666002759,1,75,2022-10-17 16:02:39+05:30
1666002758,1,75,2022-10-17 16:02:38+05:30
1666002757,1,75,2022-10-17 16:02:37+05:30
1666002756,1,75,2022-10-17 16:02:36+05:30
1666002755,1,75,2022-10-17 16:02:35+05:30
1666002754,1,75,2022-10-17 16:02:34+05:30
1666002753,1,75,2022-10-17 16:02:33+05:30
1666002752,1,75,2022-10-17 16:02:32+05:30
1666002751,1,75,2022-10-17 16:02:31+05:30
1666002750,1,75,2022-10-17 16:02:30+05:30
1666002749,1,75,2022-10-17 16:02:29+05:30
1666002748,1,75,2022-10-17 16:02:28+05:30
1666002747,1,75,2022-10-17 16:02:27+05:30
1666002746,1,75,2022-10-17 16:02:26+05:30
1666002745,1,75,2022-10-17 16:02:25+05:30
1666002744,1,75,2022-10-17 16:02:24+05:30
1666002743,1,75,2022-10-17 16:02:23+05:30
1666002742,1,75,2022-10-17 16:02:22+05:30
1666002741,1,75,2022-10-17 16:02:21+05:30
1666002740,1,75,2022-10-17 16:02:20+05:30
1666002739,1,75,2022-10-17 16:02:19+05:30
1666002738,1,75,2022-10-17 16:02:18+05:30
1666002737,1,75,2022-10-17 16:02:17+05:30
1666002736,1,75,2022-10-17 16:02:16+05:30
1666002735,1,75,2022-10-17 16:02:15+05:30
1666002734,1,75,2022-10-17 16:02:14+05:30
1666002733,1,75,2022-10-17 16:02:13+05:30
1666002732,1,75,2022-10-17 16:02:12+05:30
1666002731,1,75,2022-10-17 16:02:11+05:30
1666002730,1,75,2022-10-17 16:02:10+05:30
1666002729,1,75,2022-10-17 16:02:09+05:30
1666002728,1,75,2022-10-17 16:02:08+05:30
1666002727,1,75,2022-10-17 16:02:07+05:30
1666002725,1,75,2022-10-17 16:02:05+05:30
1666002724,1,75,2022-10-17 16:02:04+05:30
1666002723,1,75,2022-10-17 16:02:03+05:30
1666002722,1,75,2022-10-17 16:02:02+05:30
1666002721,1,75,2022-10-17 16:02:01+05:30
1666002720,1,75,2022-10-17 16:02:00+05:30
1666002719,1,75,2022-10-17 16:01:59+05:30
1666002718,1,75,2022-10-17 16:01:58+05:30
1666002717,1,75,2022-10-17 16:01:57+05:30
1666002716,1,75,2022-10-17 16:01:56+05:30
1666002715,1,75,2022-10-17 16:01:55+05:30
1666002714,1,75,2022-10-17 16:01:54+05:30
1666002713,1,75,2022-10-17 16:01:53+05:30
1666002712,1,75,2022-10-17 16:01:52+05:30
1666002711,1,75,2022-10-17 16:01:51+05:30
1666002710,1,75,2022-10-17 16:01:50+05:30
1666002709,1,75,2022-10-17 16:01:49+05:30
1666002708,1,75,2022-10-17 16:01:48+05:30
1666002707,1,75,2022-10-17 16:01:47+05:30
1666002706,1,75,2022-10-17 16:01:46+05:30
1666002705,1,75,2022-10-17 16:01:45+05:30
1666002704,1,75,2022-10-17 16:01:44+05:30
1666002703,1,75,2022-10-17 16:01:43+05:30
1666002702,1,75,2022-10-17 16:01:42+05:30
1666002701,1,75,2022-10-17 16:01:41+05:30
1666002700,1,75,2022-10-17 16:01:40+05:30
1666002699,1,75,2022-10-17 16:01:39+05:30
1666002698,1,75,2022-10-17 16:01:38+05:30
1666002697,1,75,2022-10-17 16:01:37+05:30
1666002696,1,75,2022-10-17 16:01:36+05:30
1666002695,1,75,2022-10-17 16:01:35+05:30
1666002694,1,75,2022-10-17 16:01:34+05:30
1666002693,1,75,2022-10-17 16:01:33+05:30
1666002692,1,75,2022-10-17 16:01:32+05:30
1666002691,1,76,2022-10-17 16:01:31+05:30
1666002690,1,76,2022-10-17 16:01:30+05:30
1666002689,1,76,2022-10-17 16:01:29+05:30
1666002688,1,76,2022-10-17 16:01:28+05:30
1666002687,1,76,2022-10-17 16:01:27+05:30
1666002686,1,76,2022-10-17 16:01:26+05:30
1666002685,1,76,2022-10-17 16:01:25+05:30
1666002684,1,76,2022-10-17 16:01:24+05:30
1666002683,1,76,2022-10-17 16:01:23+05:30
1666002681,1,76,2022-10-17 16:01:21+05:30
1666002680,1,76,2022-10-17 16:01:20+05:30
1666002679,1,76,2022-10-17 16:01:19+05:30
1666002678,1,76,2022-10-17 16:01:18+05:30
1666002677,1,76,2022-10-17 16:01:17+05:30
1666002676,1,76,2022-10-17 16:01:16+05:30
1666002675,1,76,2022-10-17 16:01:15+05:30
1666002674,1,76,2022-10-17 16:01:14+05:30
1666002673,1,76,2022-10-17 16:01:13+05:30
1666002672,1,76,2022-10-17 16:01:12+05:30
1666002671,1,76,2022-10-17 16:01:11+05:30
1666002670,1,76,2022-10-17 16:01:10+05:30
